Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d		
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	9018.02	12543.6	7724.07	2935.22	12307	7156.13	12244.1	10811.3	7913.94	5357.05	5105.36			10088	10150.9	12260.1	11458.7	11174.9	8466.75	7365.27	5915.72	2502.65	16925.5	13103.2	7621.1	4454.01				6901.45	10082.4	7140.77	8987.64	18054.7	7280.22		
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	8564.76	8789.99	6813.16	10076.2	9732.7	9176.26	8226.27	9637.64	6042.31	11977.9	3776.28			6002.13	7846.93		11535	12737.1	6506.75	9251.31	7540.92	12081.5		9971.01	6838.13	7438.05	5259.07	4037.11	6114.25	7672.33	5968.35	10054.9	5894.23		8128.59		
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	4404.03	9799.23		6967.01	4547.1	7717.35	7784.1	11430.1	6872.35				7684.4		1881.82	4978.15	4017.49		1989.21	5359.5	5312.59		4052.27		9197.22							4180.82		3915.68	2441.26		
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1						13739.5					4799.53																	5831.16									
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	3999.8		8017.65	5532.16	5184.59	5192.73	8900.82	3831.48	4540.27	10464.1	5633.54	10279.1	7508.16		6145.43	9609.81			3494		5822.9	6311.12	5011.1	5476.2	1932.93	6759.12				1716.29		3289.23	3208.98	6669.41	4131.35		
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	9605.68	9790.84		8270.9	4820.2	6158.38	8752.19	5770.72	4947.17						4199.93				4894.04	3497.01	4061.12	6835.85		4102.51	4038.08	6840.02	17957.4			8318.98					10179.7		
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2871.61			2794.56	3255.17	3738.35			3158.24		23098				4669.82	2881.33										10817.8	1509.82		8754.51	5140.98		4359.65		9589.23	3011.55		
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5															1207.62																						
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8				15490.7				1777.79	2472.69												5288.29									12368.6			24704.7		20868.8		
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1											3563.77	5336.68	6990.8								3208.12		4537.58						2566.4								
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91									2294.5						940.762				2309.59																		
A5A3E0	Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F																										2954.29											
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1592.05				7138.26				2343.13				2260				3305.43							3593.88		2851.3											
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase								17717.8																													
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13													2862.21								3194.64																
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1		7040.91			3908.94				2695.77	5302.53				7717.79	6218.48			6836.58	4723.68		5911.94			14672.1	8330.98		7281.03	1575.62	20885.3	5634.43	4803.85		4364.73		6873.05		
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	10106.9	5485.04				17865.8			8138.91	47899.3				6670.04	1424.55				5760.55		5149.31				41182.7						4337.25	8609.4					
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G																											2422.81										
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3523.62			3535.55	4100.12	1791.02		1791.85	4507.2	4510.76		5059.84	4504.23	7247.47	4361.1			5892.84	5301.82	3798.24	6040.64	2244.94			4635.01	4144.91	5391.4	1708.27		3918.31	3969.66	9333.76	3453.59		2510.8		
A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB					1118.12		4498.33		2167.58																									3226.19			
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	4482.77			1822.51	3203.63		5367.12	3881.77	3682.26	7486.9					4015.17		6059.2		4569.91							3104.85		4926.8		3561.93		6118.86	2145.58				
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154		5883.58	7015.65	4624.74	6228.21				8382.07	13421.9	4609.13	8208.92		8161.91	9099.55	10851.9	9713.28		14477.9		9421.83		7001.56	3693.07	8097.52	13577.1	7057.88	6919.63	6322.77	13981.7	14169.2	10695	12357	21437.3			
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	6198.79	6618.73		2149.54	2838.26		6029.8	4921.83			5573.93		5207.65	6432.2	3718.08				13561.1		2498.1			3922.85		5673.55						6278.8	3007.75		14050.7		
