Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	"Keratin, type I cytoskeletal 15"	0.9929	0.9989	6	8	4	60	1	2	2	1	0	1	1	0	0	1	0	1	0	1	1	0	10	14	13	12	0	5	6	0	11708.131	124574.46	18057.383	114265.586	0	110313.086	138555.9	0	0	36463.176	31908.824	0	0	0	0	0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1	0.999	6	50	50	50	10	12	12	10	0	2	4	0	10	12	12	10	0	2	4	0	10	12	12	10	0	2	4	0	755408.2	805719.25	770915.56	785381.06	0	613545.4	624790.1	0	451309.1	438038.66	467138.9	472928.56	0	394404.38	408948.72	0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1	0.999	17	34	32	34	6	12	14	2	0	0	0	0	6	10	14	2	0	0	0	0	6	12	14	2	0	0	0	0	44911.305	100481.61	105582.875	31901.307	0	0	0	0	16730.459	22478.643	20999.906	17558.855	0	0	0	0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	"Keratin, type II microfibrillar, component 5"	1	0.999	3	16	0	35	5	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	7	5	8	5	1	4	5	0	183943.36	44203.234	200505.1	309623.8	0	94749.05	104658.04	0	79239.33	0	303531.66	186252.42	0	0	0	0	sp|P78386|KRT85_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	1	0.999	5	14	0	14	4	3	4	2	0	0	1	0	0	0	0	0	0	0	0	0	4	3	4	2	0	0	1	0	89778.74	60788.805	46029.445	62705.547	0	0	37891.297	0	38483.637	26745.7	28251.654	34861.625	0	0	0	0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9473	0.9973	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7374.628	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1	0.999	22	58	58	58	13	22	19	4	0	0	0	0	13	22	19	4	0	0	0	0	13	22	19	4	0	0	0	0	136707.77	226657.17	190493.8	42115.555	0	0	0	0	16801.396	19047.988	19234.031	17203.32	0	0	0	0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1	0.999	15	38	38	38	8	17	12	1	0	0	0	0	8	17	12	1	0	0	0	0	8	17	12	1	0	0	0	0	62157.348	153360.8	118111.83	18774.732	0	0	0	0	16277.336	20650.916	20265.096	0	0	0	0	0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1	0.999	13	29	29	29	7	9	11	2	0	0	0	0	7	9	11	2	0	0	0	0	7	9	11	2	0	0	0	0	62334.816	75842.555	81158.53	30750.291	0	0	0	0	18884.58	19044.986	17291.162	18194.188	0	0	0	0	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0.9999	0.9985	2	4	4	4	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	8090.086	2457.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	
