Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-31_4280.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_18ng_3-12-2024_Slot2-32_4281.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_18ng_3-12-2024_Slot2-33_4282.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_18ng_3-12-2024_Slot2-34_4283.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_18ng_3-12-2024_Slot2-35_4284.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_18ng_3-12-2024_Slot2-36_4285.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_18ng_3-11-2024_Slot2-25_4274.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_18ng_3-11-2024_Slot2-26_4275.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_18ng_3-11-2024_Slot2-27_4276.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_18ng_3-11-2024_Slot2-28_4277.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_18ng_3-11-2024_Slot2-29_4278.d	D:\LucyC\20240312_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_18ng_3-11-2024_Slot2-30_4279.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	11791.4	11275.2	12750	24438.9	22694.5	20532.9	7180.46	5545.9	5737.67	14432.9	13740.2	18690.8
A0A087X1C5;P10635	A0A087X1C5;P10635	CP2D6_HUMAN;CP2D7_HUMAN	CYP2D6;CYP2D7	Putative cytochrome P450 2D7	14279.6	10072.1		12553.4			3089.97	14794			11012.7	
A0A096LP01	A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	3134.21	2965.25	3186.15	3189.94			4364.22	4550.01	3938.54	4751.09	4380.55	5491.42
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial		4032.42	7831.84	61679.7	50442.2	52639.2	5153.52	8356.42	6212.88	37032.7	33810.9	52002.6
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1				3842.2	1888.38	3224.82	1616.14	582.936	1192.9	7138.76	7762.84	12101.8
A0A1B0GUT2;Q86YN6	Q86YN6;A0A1B0GUT2	CJ143_HUMAN;PRGC2_HUMAN	C10orf143;PPARGC1B	Uncharacterized protein C10orf143	91387.1	33568.6	31114.6	37883.7	34715.2		59312.6	67914.4	98407	97239	92638.9	26369.6
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	2377.58			1779.93				1101.37		1868.46	3581.4	2921.98
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	49194.8	47038	48881.6	34907.1	27344	21194.2	39626.9	43104.1	40435.6	31763.1	27660	16107.8
A0AVI4	A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129	880.411	1582.96	1972.03				1153.37	313.946	737.485			
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	161869	140116	151334	123531	104756	102164	128637	137318	136474	108136	105485	97956.5
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	75614.1	82794.5	77333.6	64574	57277.8	56227.4	74355.6	68569.9	67727.6	59926.5	59870.2	55399.7
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	7106.56	5921.39	5767.2	5065.89	4830.19	6267.97	6384.96	5353.41	5302.75	6429.03	6083.09	7100.89
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	13548	13741.8	14834.8	27894.4	27667.5	28381.7	12567.3	12342.7	12373.2	48597.1	46627.5	67335.7
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	6283.59	6982.77	7477.96	8684.6	8144.75	6560.38	6390.34	7329.71	6409.35	7491.76	8731.48	7116.83
A0PJY2	A0PJY2	FEZF1_HUMAN	FEZF1	Fez family zinc finger protein 1	107231	177741	290340	296567	269787	256532	103582	92009.4	151956	139292	114389	106833
A0PJZ3	A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	2863.33	3032.54	2570.96	748.774			543.064		584.512			
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	6575.26	7268.95	7110.98	8970.82			5652.49	5476.29	5437.18		4675.69	
A1A4S6	A1A4S6;Q9UNA1	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	12087.1	8622.16	9025.72	6568.64	5961.77	5294.73	11888.4	11911.4	14005.4	6850.89	6829.49	8420.24
