Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Unique Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Unique Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Unique Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Unique Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Total Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Total Spectral Count	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Total Spectral Count	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 Intensity	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 Intensity	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 MaxLFQ Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2740 MaxLFQ Intensity	Hela_250pg_DDA_12_19_2023_Slot1_11_2747 MaxLFQ Intensity	Hela_250pg_DDA_12_20_2023_Slot1_11_2754 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1.0	0.999	4	6	6	6	6	0	0	0	6	0	0	0	6	0	0	0	176534.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	7	29	29	29	12	6	8	3	12	6	8	3	12	6	8	3	397040.78	1680028.4	1646989.8	1764695.5	0.0	1156569.5	1086160.8	1214346.2	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	11	18	17	18	14	1	2	1	13	1	2	1	14	1	2	1	292497.16	84990.68	87243.37	45662.76	0.0	0.0	0.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.999	3	7	0	18	2	2	2	1	0	0	0	0	5	6	4	3	691889.94	603347.75	134565.52	92194.47	803323.06	266641.97	0.0	0.0	sp|P78386|KRT85_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	3	4	0	4	4	0	0	0	0	0	0	0	4	0	0	0	45051.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9847	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	19283.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative regulator of P-body association	0.8349	0.9874	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	32865.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	13	18	18	18	18	0	0	0	18	0	0	0	18	0	0	0	472586.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	3	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	104311.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0JNW5|UH1BL_HUMAN	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	1464	Homo sapiens OX=9606	1:Experimental evidence at protein level	UHRF1-binding protein 1-like	0.9847	0.9893	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	20627.793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	8	11	11	11	11	0	0	0	11	0	0	0	11	0	0	0	254441.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	1	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	8723.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	27440.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	58467.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens OX=9606	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	0.9964	0.999	3	2	0	5	2	0	0	0	0	0	0	0	4	1	0	0	50330.793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM234B	0.9847	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	18724.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens OX=9606	1:Experimental evidence at protein level	DENN domain-containing protein 3	0.9766	0.9985	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	14076.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	4	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	140730.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	4	4	2	4	4	0	0	0	2	0	0	0	4	0	0	0	47204.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.9989	4	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	50960.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	5	5	5	5	5	0	0	0	5	0	0	0	5	0	0	0	47640.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0.8108	0.9851	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	27679.584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PLL7|PDES1_HUMAN	A5PLL7	PDES1_HUMAN	PEDS1	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plasmanylethanolamine desaturase	0.8701	0.9904	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	8615.566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	15	18	18	18	18	0	0	0	18	0	0	0	18	0	0	0	356140.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	0.8648	0.99	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	6498.1934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9GZQ8|MLP3B_HUMAN, sp|Q9H492|MLP3A_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	3	4	4	4	4	0	0	0	4	0	0	0	4	0	0	0	36250.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens OX=9606	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9845	0.999	1	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	37775.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens OX=9606	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	1.0	0.999	3	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	49586.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9963	0.9989	4	1	1	34	1	0	0	0	1	0	0	0	22	6	3	3	6642.631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	9	12	12	12	12	0	0	0	12	0	0	0	12	0	0	0	301271.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.9402	0.9959	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	16038.321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q13432|U119A_HUMAN
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens OX=9606	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	0.9844	0.999	1	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	39304.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NKF1|SAC31_HUMAN	A6NKF1	SAC31_HUMAN	SAC3D1	404	Homo sapiens OX=9606	1:Experimental evidence at protein level	SAC3 domain-containing protein 1	1.0	0.999	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	88428.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
