Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2918 Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2919 Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2920 Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2921 Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2884 Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2885 Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2886 Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2887 Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2889 Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2890 Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2891 Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2910 Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2911 Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2912 Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2913 Spectral Count	Hela_250pg_DDA_12_27_2023_Slot1_16_2893 Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_16_2894 Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2895 Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2897 Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2898 Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2900 Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2901 Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2903 Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2904 Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2906 Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2907 Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2908 Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2909 Spectral Count	Hela_5ng_DDA_12_28_2023_Slot1_37_2914 Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2915 Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2916 Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2917 Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2918 Unique Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2919 Unique Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2920 Unique Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2921 Unique Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2884 Unique Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2885 Unique Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2886 Unique Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2887 Unique Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2889 Unique Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2890 Unique Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2891 Unique Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2910 Unique Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2911 Unique Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2912 Unique Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2913 Unique Spectral Count	Hela_250pg_DDA_12_27_2023_Slot1_16_2893 Unique Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_16_2894 Unique Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2895 Unique Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2897 Unique Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2898 Unique Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2900 Unique Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2901 Unique Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2903 Unique Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2904 Unique Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2906 Unique Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2907 Unique Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2908 Unique Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2909 Unique Spectral Count	Hela_5ng_DDA_12_28_2023_Slot1_37_2914 Unique Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2915 Unique Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2916 Unique Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2917 Unique Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2918 Total Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2919 Total Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2920 Total Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2921 Total Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2884 Total Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2885 Total Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2886 Total Spectral Count	Hela_125pg_DDA_12_27_2023_Slot1_33_2887 Total Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2889 Total Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2890 Total Spectral Count	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2891 Total Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2910 Total Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2911 Total Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2912 Total Spectral Count	Hela_1ng_DDA_12_28_2023_Slot1_36_2913 Total Spectral Count	Hela_250pg_DDA_12_27_2023_Slot1_16_2893 Total Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_16_2894 Total Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2895 Total Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2897 Total Spectral Count	Hela_250pg_DDA_12_28_2023_Slot1_34_2898 Total Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2900 Total Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2901 Total Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2903 Total Spectral Count	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2904 Total Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2906 Total Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2907 Total Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2908 Total Spectral Count	Hela_500pg_DDA_12_28_2023_Slot1_35_2909 Total Spectral Count	Hela_5ng_DDA_12_28_2023_Slot1_37_2914 Total Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2915 Total Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2916 Total Spectral Count	Hela_5ng_DDA_12_29_2023_Slot1_37_2917 Total Spectral Count	Hela_10ng_DDA_12_29_2023_Slot1_38_2918 Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2919 Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2920 Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2921 Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2884 Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2885 Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2886 Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2887 Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2889 Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2890 Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2891 Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2910 Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2911 Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2912 Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2913 Intensity	Hela_250pg_DDA_12_27_2023_Slot1_16_2893 Intensity	Hela_250pg_DDA_12_28_2023_Slot1_16_2894 Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2895 Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2897 Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2898 Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2900 Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2901 Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2903 Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2904 Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2906 Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2907 Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2908 Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2909 Intensity	Hela_5ng_DDA_12_28_2023_Slot1_37_2914 Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2915 Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2916 Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2917 Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2918 MaxLFQ Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2919 MaxLFQ Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2920 MaxLFQ Intensity	Hela_10ng_DDA_12_29_2023_Slot1_38_2921 MaxLFQ Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2884 MaxLFQ Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2885 MaxLFQ Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2886 MaxLFQ Intensity	Hela_125pg_DDA_12_27_2023_Slot1_33_2887 MaxLFQ Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2889 MaxLFQ Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2890 MaxLFQ Intensity	Hela_125pg_DDA_with_DDM_12_27_2023_Slot1_39_2891 MaxLFQ Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2910 MaxLFQ Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2911 MaxLFQ Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2912 MaxLFQ Intensity	Hela_1ng_DDA_12_28_2023_Slot1_36_2913 MaxLFQ Intensity	Hela_250pg_DDA_12_27_2023_Slot1_16_2893 MaxLFQ Intensity	Hela_250pg_DDA_12_28_2023_Slot1_16_2894 MaxLFQ Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2895 MaxLFQ Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2897 MaxLFQ Intensity	Hela_250pg_DDA_12_28_2023_Slot1_34_2898 MaxLFQ Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2900 MaxLFQ Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_28_2901 MaxLFQ Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2903 MaxLFQ Intensity	Hela_250pg_DDA_with_DDM_12_28_2023_Slot1_40_2904 MaxLFQ Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2906 MaxLFQ Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2907 MaxLFQ Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2908 MaxLFQ Intensity	Hela_500pg_DDA_12_28_2023_Slot1_35_2909 MaxLFQ Intensity	Hela_5ng_DDA_12_28_2023_Slot1_37_2914 MaxLFQ Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2915 MaxLFQ Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2916 MaxLFQ Intensity	Hela_5ng_DDA_12_29_2023_Slot1_37_2917 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	7	44	25	688	2	2	3	2	1	0	0	1	0	0	0	2	3	2	5	1	2	0	1	2	1	1	1	1	1	0	1	1	3	3	2	0	1	0	1	1	1	0	0	1	0	0	0	1	2	1	2	1	2	0	1	2	1	1	0	1	1	0	0	1	0	2	1	0	76	87	108	86	3	2	1	2	2	2	2	5	8	8	9	3	4	2	3	4	2	4	3	3	7	3	5	5	72	85	81	1	739210.56	764089.5	59602.188	46698.57	745796.5	611299.75	437989.8	381016.16	249852.36	299056.44	283394.72	717700.56	711532.6	736156.5	954695.0	274221.47	633733.6	453337.0	528366.9	1093470.9	603638.8	810752.3	280635.9	195938.22	252349.66	832702.75	434772.0	811400.8	297043.66	829864.06	121682.86	175293.27	164454.42	171636.67	79601.03	63499.55	361267.44	406683.44	322489.4	0.0	0.0	0.0	0.0	392531.16	355153.84	378693.16	375626.9	0.0	577374.06	0.0	529858.8	515154.16	388257.88	363102.84	0.0	0.0	0.0	521919.1	523813.5	543233.6	261611.86	262405.5	190341.05	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	8	229	229	229	18	13	18	17	3	2	1	4	1	4	1	4	7	4	4	3	6	3	5	4	8	5	13	7	4	6	6	4	16	17	16	5	18	13	18	17	3	2	1	4	1	4	1	4	7	4	4	3	6	3	5	4	8	5	13	7	4	6	6	4	16	17	16	5	18	13	18	17	3	2	1	4	1	4	1	4	7	4	4	3	6	3	5	4	8	5	13	7	4	6	6	4	16	17	16	5	1020382.2	1035768.3	1013231.4	987379.6	1233366.2	1217557.5	1217628.1	1269827.0	1219195.2	1314943.2	1206016.8	1769089.6	1761308.0	1764074.4	1713249.2	1669329.5	1600999.5	1495170.9	1634901.0	1667183.0	1458177.5	1482160.5	1421610.9	1532694.9	1709992.6	1732367.0	1654039.6	1647380.4	1256113.4	1229077.8	1158921.2	224324.45	499514.25	524289.25	495839.88	472221.3	831520.75	830104.8	831509.2	862767.9	757949.5	863175.0	766935.2	1147861.4	1135096.4	1135198.9	1116850.9	1014776.0	1037498.2	993759.25	1060667.8	1104136.8	797703.3	796777.56	767606.94	836206.06	1102726.5	1048250.0	1074147.1	1060858.4	615752.3	600683.5	584358.56	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	18	145	127	145	10	14	11	14	1	0	1	0	3	4	3	1	5	4	4	1	2	1	0	1	7	3	4	6	2	2	2	1	12	13	13	0	8	12	10	12	1	0	1	0	3	4	3	1	5	4	3	1	2	1	0	1	6	3	4	5	2	2	2	1	9	10	11	0	10	14	11	14	1	0	1	0	3	4	3	1	5	4	4	1	2	1	0	1	7	3	4	6	2	2	2	1	12	13	13	0	298812.8	263761.12	187605.23	179089.69	0.0	0.0	0.0	0.0	787829.75	1032305.4	919586.44	58271.023	136828.47	91200.055	143048.56	118555.9	43045.387	72899.13	0.0	0.0	540686.7	432571.16	426826.38	395041.34	49849.016	47991.39	31584.922	48111.79	170590.25	219960.22	210918.89	0.0	44857.637	45666.47	34976.14	37783.484	0.0	0.0	0.0	0.0	404116.78	527715.44	494839.62	44781.098	47064.58	41481.54	40733.68	73135.13	0.0	0.0	0.0	0.0	285165.8	228011.95	234341.36	226620.16	0.0	0.0	0.0	0.0	32379.223	36112.0	30472.96	0.0	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	6	47	0	47	3	2	4	5	0	0	0	0	0	0	0	3	3	4	4	0	0	0	0	0	0	0	0	0	2	1	1	0	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	5	0	0	0	0	0	0	0	3	3	4	4	0	0	0	0	0	0	0	0	0	2	1	1	0	6	5	4	0	85261.875	66020.15	78533.56	76253.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118209.84	183647.38	184075.23	170007.84	0.0	0.0	52389.035	0.0	0.0	0.0	0.0	0.0	0.0	97994.516	45014.168	96180.11	133212.38	136044.66	151891.7	113513.625	0.0	26682.346	37211.48	43792.688	41322.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60485.863	64856.957	66339.81	64023.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66660.8	0.0	54686.004	57024.31	46914.9	43359.05	41874.14	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9664	0.9989	1	5	5	5	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	78742.74	59967.926	0.0	9899.799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77714.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein MMP24	0.969	0.999	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	5936.628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	21	111	111	111	14	15	14	13	0	0	0	0	0	0	0	4	2	7	4	0	0	0	0	0	0	0	0	0	1	0	1	1	11	11	13	0	14	15	14	13	0	0	0	0	0	0	0	4	2	7	4	0	0	0	0	0	0	0	0	0	1	0	1	1	11	11	13	0	14	15	14	13	0	0	0	0	0	0	0	4	2	7	4	0	0	0	0	0	0	0	0	0	1	0	1	1	11	11	13	0	298732.28	289528.78	208533.0	207435.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129199.734	94928.555	157588.45	112506.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34540.55	0.0	47563.258	198858.16	324312.84	218945.11	0.0	29103.309	28346.662	30332.057	29240.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42719.48	42345.723	42016.52	38637.062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29538.307	34303.254	34923.777	33305.484	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	11	69	69	69	8	9	9	11	0	0	0	0	0	0	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	10	0	8	9	9	11	0	0	0	0	0	0	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	10	0	8	9	9	11	0	0	0	0	0	0	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	10	0	198614.97	194869.75	171219.14	213808.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97794.34	55970.418	21725.709	62676.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211096.38	227760.81	197421.78	0.0	62663.215	60784.043	67021.84	69541.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86857.31	39701.977	0.0	42828.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69982.62	65827.266	61878.89	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	16	101	101	101	15	12	13	17	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	16	0	15	12	13	17	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	16	0	15	12	13	17	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	16	0	250227.8	246083.22	171808.6	215369.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52978.133	41593.242	24361.383	25820.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187566.86	206631.64	237050.3	0.0	33165.965	32686.205	31190.16	33382.652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22154.31	26349.635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34014.87	32249.682	34843.3	0.0	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0.9999	0.999	2	11	11	11	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	35192.387	27764.438	13284.109	13270.648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11781.13	31178.246	9211.619	0.0	21881.06	17692.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19358.633	0.0	0.0	
