Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	26	26	26	     0	     0	     0	17M(15.9949)		
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	Alpha-S1-casein 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	106	106	106	     0	     0	     0	4M(15.9949)		
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	Alpha-S2-casein 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	37	37	37	     0	     0	     0	2M(15.9949)		
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	Beta-casein 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	35	35	35	     0	     0	     0	2M(15.9949), 4M(15.9949), 5M(15.9949), 9M(15.9949)		
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	Kappa-casein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	31	31	31	     0	     0	     0	2C(57.0214)		
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin 	1:Experimental evidence at protein level	1.0000	0.9990	49	42	49	86	72	86	     0	     0	     0	10C(57.0214), 11C(57.0214), 12C(57.0214), 13C(57.0214), 14C(57.0214), 15C(57.0214), 17C(57.0214), 18C(57.0214), 1C(57.0214), 2C(57.0214), 30C(57.0214), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase A-like 4C 	2:Experimental evidence at transcript level	1.0000	0.9990	1	0	1	5	0	5	     0	     0	     0	24C(57.0214), 9M(15.9949)		
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	5:Protein uncertain	1.0000	0.9990	6	0	6	6	0	6	     0	     0	     0	12C(57.0214)		sp|P0DPI2|GAL3A_HUMAN
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens OX=9606	RNA-binding protein 47 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	6	6	6	     0	     0	     0	11C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	14	14	14	     0	     0	     0	N-term(42.0106)		
